Country,dbpediaLinks,eurostatLink,yagoLink,factbookLink,wikidataLink,geonamesLinks,linkedGeoDataLinks
Austria,http://dbpedia.org/resource/Austria,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/%C3%96sterreich,http://yago-knowledge.org/resource/Austria,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Austria,http://www.wikidata.org/entity/Q40,http://sws.geonames.org/2782113/,N/A
Belgium,http://dbpedia.org/resource/Belgium,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Belgique-_Belgie,http://yago-knowledge.org/resource/Belgium,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Belgium,http://www.wikidata.org/entity/Q31,http://sws.geonames.org/2802361/,http://linkedgeodata.org/triplify/node424315689
Croatia,http://dbpedia.org/resource/Croatia,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Hrvatska,http://yago-knowledge.org/resource/Croatia,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Croatia,http://www.wikidata.org/entity/Q224,http://sws.geonames.org/3202326/,http://linkedgeodata.org/triplify/node424311353
France,http://dbpedia.org/resource/France,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/France,http://yago-knowledge.org/resource/France,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/France,http://www.wikidata.org/entity/Q142,http://sws.geonames.org/3017382/,http://linkedgeodata.org/triplify/node424313308
Germany,http://dbpedia.org/resource/Germany,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Deutschland,http://yago-knowledge.org/resource/Germany,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Germany,http://www.wikidata.org/entity/Q183,http://sws.geonames.org/2921044/,http://linkedgeodata.org/triplify/node424310500
Nederland,http://dbpedia.org/resource/Nederland,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Nederland,http://yago-knowledge.org/resource/Nederlands,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Netherlands,http://www.wikidata.org/entity/Q262247,N/A,N/A
Macedonia,http://dbpedia.org/resource/Macedonia,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Macedonia,N/A,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Macedonia,http://www.wikidata.org/entity/Q39702,N/A,N/A
Bulgaria,http://dbpedia.org/resource/Bulgaria,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Bulgaria,http://yago-knowledge.org/resource/Bulgaria,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Bulgaria,http://www.wikidata.org/entity/Q219,http://sws.geonames.org/732800/,http://linkedgeodata.org/triplify/node424315709
Switzerland,http://dbpedia.org/resource/Switzerland,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Switzerland,http://yago-knowledge.org/resource/Switzerland,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Switzerland,http://www.wikidata.org/entity/Q39,http://sws.geonames.org/2658434/,http://linkedgeodata.org/triplify/node49915473
Italy,http://dbpedia.org/resource/Italy,http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Italia,http://yago-knowledge.org/resource/Italy,http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Italy,http://www.wikidata.org/entity/Q38,http://sws.geonames.org/3175395/,http://linkedgeodata.org/triplify/node26347360
